criticalLevel,workType,responseTime,processingDuration,resolutionDuration,start,planned,replanned,postponed,occupant_absent,requested,Class
0,preventive,]72--[,]1-2],]72--[,True,True,True,False,False,True,TMH - visite entretien ballon thermodynamique
0,corrective,]48-72],]1-2],]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien appareil gaz
1,corrective,]48-72],]24-48],]72--[,True,True,True,True,False,True,TMH - dépannage chauffage
0,preventive,]16-24],]2-4],]16-24],True,True,True,False,False,False,TMH - visite entretien ballon solaire
0,preventive,]16-24],]16-24],]24-48],True,True,True,False,False,False,TMH - visite entretien appareil gaz
1,corrective,]48-72],]2-4],]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
0,corrective,]0-1],]48-72],]48-72],True,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]24-48],]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
1,corrective,]48-72],]0-1],]48-72],True,True,False,False,False,True,Dépannage
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,True,False,TMH - visite entretien appareil gaz
1,corrective,0,]2-4],]2-4],True,False,True,False,False,False,TMH - dépannage chauffage
1,corrective,]72--[,]0-1],]72--[,True,True,False,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
1,corrective,]16-24],]48-72],]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]1-2],]1-2],]2-4],True,True,False,False,False,True,TMH - dépannage chauffage
3,corrective,]4-16],]24-48],]24-48],True,True,True,False,False,True,TMH - dépannage chauffage
3,corrective,]2-4],]2-4],]4-16],True,False,True,False,False,True,TMH - dépannage chauffage
1,corrective,]24-48],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
3,corrective,]4-16],]0-1],]4-16],True,True,False,False,False,True,Dépannage
1,corrective,]16-24],]0-1],]24-48],True,False,False,False,False,True,TMH - dépannage chauffage
3,corrective,]24-48],]48-72],]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]4-16],0,]4-16],True,False,True,False,False,True,TMH - dépannage chauffage
1,corrective,]1-2],]0-1],]2-4],True,True,False,False,False,True,TMH - dépannage chauffage
0,preventive,0,]48-72],]48-72],False,False,True,True,False,False,TMH - visite entretien appareil gaz
1,corrective,]24-48],0,]24-48],True,True,True,False,False,True,Dépannage
1,corrective,]24-48],]48-72],]72--[,True,False,True,False,False,True,TMH - dépannage chauffage
1,corrective,]24-48],]72--[,]72--[,True,True,True,True,True,True,TMH - dépannage chauffage
1,corrective,]24-48],]1-2],]48-72],True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]48-72],]1-2],]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
5,corrective,]16-24],0,]16-24],True,True,True,False,False,True,Dépannage
1,corrective,]0-1],]0-1],]0-1],True,True,False,False,False,True,Dépannage
0,preventive,]0-1],0,]0-1],False,False,False,False,False,True,TMH - visite entretien Pompe à Chaleur (PAC)
1,corrective,]4-16],]2-4],]4-16],True,True,False,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]0-1],]72--[,True,True,True,True,False,False,TMH - visite entretien appareil gaz
1,corrective,]16-24],]0-1],]24-48],True,True,True,False,False,True,Dépannage
0,preventive,]72--[,]24-48],]72--[,True,True,False,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien ballon thermodynamique
1,corrective,]24-48],0,]24-48],True,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]72--[,]72--[,True,True,False,False,True,True,TMH - visite entretien appareil gaz
0,preventive,0,]72--[,]72--[,False,False,False,True,False,False,TMH - visite entretien appareil gaz
0,preventive,]48-72],]16-24],]48-72],True,True,True,False,False,False,TMH - visite entretien appareil gaz
1,corrective,]4-16],]0-1],]4-16],True,False,True,False,False,True,TMH - dépannage chauffage
0,preventive,0,]72--[,]72--[,True,False,True,True,True,False,TMH - visite entretien appareil gaz
1,corrective,0,]48-72],]48-72],True,False,True,False,False,False,TMH - dépannage chauffage
1,corrective,]4-16],]1-2],]4-16],True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]16-24],]16-24],]24-48],True,True,True,True,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]48-72],]72--[,True,True,True,True,True,False,TMH - visite entretien appareil gaz
0,preventive,]2-4],]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
1,corrective,0,]2-4],]2-4],True,True,True,False,False,False,TMH - dépannage chauffage
0,preventive,]72--[,]48-72],]72--[,True,True,True,False,True,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
1,corrective,]2-4],]0-1],]2-4],True,False,False,False,False,True,TMH - dépannage chauffage
1,corrective,]72--[,]0-1],]72--[,True,False,True,False,False,True,TMH - dépannage chauffage
1,corrective,]48-72],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]16-24],]72--[,]72--[,True,True,True,False,True,True,TMH - dépannage chauffage
0,preventive,]72--[,]48-72],]72--[,True,True,False,False,False,False,TMH - visite entretien appareil gaz
1,corrective,0,]72--[,]72--[,True,True,True,False,True,False,TMH - dépannage chauffage
1,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]72--[,]0-1],]72--[,True,False,False,False,False,True,TMH - dépannage chauffage
1,corrective,]0-1],]24-48],]24-48],True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]24-48],]4-16],]48-72],True,True,False,False,False,True,TMH - dépannage chauffage
5,corrective,]2-4],]2-4],]4-16],True,False,True,False,False,True,TMH - dépannage chauffage
3,corrective,]16-24],]2-4],]16-24],True,True,True,False,False,True,TMH - dépannage chauffage
5,corrective,]72--[,0,]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,True,True,TMH - visite entretien ballon thermodynamique
0,preventive,]72--[,0,]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
1,corrective,]2-4],]0-1],]2-4],True,False,True,False,False,True,TMH - dépannage chauffage
0,preventive,]24-48],]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
1,corrective,]72--[,]24-48],]72--[,True,True,True,True,True,True,TMH - dépannage chauffage
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,True,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]0-1],]72--[,True,True,True,False,False,True,TMH - visite entretien Pompe à Chaleur (PAC)
0,preventive,]72--[,]72--[,]72--[,True,True,False,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,0,]72--[,True,True,False,False,False,False,TMH - visite entretien appareil gaz
1,corrective,]1-2],]0-1],]2-4],True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]24-48],0,]24-48],False,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]0-1],]72--[,True,True,True,True,False,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]2-4],]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]4-16],]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]0-1],]1-2],]1-2],True,True,False,False,False,False,TMH - visite entretien appareil gaz
0,preventive,0,]0-1],]0-1],False,False,False,True,False,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]0-1],]72--[,False,True,False,True,False,False,TMH - visite entretien appareil gaz
0,preventive,]16-24],]0-1],]16-24],True,True,True,False,False,False,TMH - visite entretien appareil gaz
0,corrective,]72--[,]2-4],]72--[,True,False,True,False,False,True,Dépannage
1,corrective,]4-16],]48-72],]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]2-4],]72--[,True,True,True,False,False,True,TMH - visite entretien appareil gaz
0,corrective,]72--[,]72--[,]72--[,True,True,True,True,False,True,TMH - dépannage chauffage
1,corrective,]48-72],]0-1],]48-72],True,True,False,False,False,True,TMH - dépannage chauffage
0,preventive,]0-1],]24-48],]24-48],True,True,False,False,False,False,TMH - visite entretien ballon thermodynamique
5,corrective,]4-16],]0-1],]4-16],True,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien appareil gaz
5,corrective,]24-48],]0-1],]24-48],True,True,False,False,False,True,TMH - dépannage chauffage
0,preventive,0,]0-1],]0-1],False,False,False,False,True,False,TMH - visite entretien appareil gaz
0,preventive,]0-1],]0-1],]1-2],True,True,True,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]2-4],]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien ballon thermodynamique
0,preventive,]72--[,]4-16],]72--[,True,True,True,True,False,True,TMH - visite entretien appareil gaz
1,corrective,]24-48],]72--[,]72--[,True,True,True,True,False,True,TMH - dépannage chauffage
0,preventive,0,]1-2],]1-2],False,False,True,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]2-4],]1-2],]2-4],True,True,False,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]24-48],]72--[,True,True,True,True,True,False,TMH - visite entretien appareil gaz
3,corrective,]72--[,]2-4],]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]0-1],]16-24],]16-24],True,True,True,False,False,False,TMH - visite entretien appareil gaz
0,preventive,0,]24-48],]24-48],True,False,True,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]16-24],]0-1],]16-24],True,True,False,False,False,False,TMH - visite entretien Pompe à Chaleur (PAC)
0,preventive,]0-1],0,]0-1],False,True,False,False,False,True,TMH - visite entretien Pompe à Chaleur (PAC)
1,corrective,]2-4],]72--[,]72--[,True,True,True,True,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]4-16],]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
1,corrective,]4-16],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]72--[,]48-72],]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]1-2],]72--[,True,True,True,False,False,True,TMH - visite entretien appareil gaz
0,preventive,]72--[,]72--[,]72--[,True,True,False,False,True,False,TMH - visite entretien ballon thermodynamique
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,False,True,TMH - visite entretien appareil gaz
1,corrective,]16-24],]48-72],]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,0,]0-1],]0-1],True,True,True,False,False,False,TMH - dépannage chauffage
0,preventive,]48-72],]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien appareil gaz
0,preventive,0,]1-2],]1-2],False,False,True,True,False,False,TMH - visite entretien appareil gaz
5,corrective,]0-1],]0-1],]1-2],True,True,False,False,False,True,TMH - dépannage chauffage
5,corrective,]0-1],]1-2],]2-4],True,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,0,]72--[,False,True,False,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]48-72],0,]48-72],False,True,False,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien Pompe à Chaleur (PAC)
0,preventive,0,]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]1-2],]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]4-16],]72--[,True,True,True,False,False,False,TMH - visite entretien Pompe à Chaleur (PAC)
0,preventive,]0-1],0,]0-1],False,True,False,False,False,True,TMH - visite entretien appareil gaz
0,preventive,]72--[,]2-4],]72--[,True,True,True,False,False,True,TMH - visite entretien appareil gaz
1,corrective,]48-72],]1-2],]72--[,True,True,False,False,False,True,TMH - dépannage chauffage
1,corrective,]48-72],]48-72],]72--[,True,True,True,False,True,True,TMH - dépannage chauffage
0,preventive,]72--[,]24-48],]72--[,False,True,True,False,False,True,TMH - visite entretien appareil gaz
3,corrective,]2-4],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]16-24],]0-1],]16-24],True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]0-1],]0-1],]0-1],True,True,True,False,False,True,TMH - dépannage chauffage
5,corrective,]0-1],]48-72],]48-72],True,True,True,False,False,True,Dépannage
0,preventive,]72--[,]0-1],]72--[,True,True,True,True,False,False,TMH - visite entretien appareil gaz
0,preventive,0,0,0,True,False,False,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]4-16],]0-1],]16-24],True,True,False,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]4-16],]72--[,True,True,True,False,False,True,TMH - visite entretien appareil gaz
1,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
5,corrective,]16-24],]24-48],]48-72],True,True,True,True,False,True,TMH - dépannage chauffage
5,corrective,]24-48],]0-1],]24-48],True,False,False,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,]24-48],]72--[,True,True,True,False,True,False,TMH - visite entretien appareil gaz
1,corrective,]2-4],0,]2-4],True,False,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]24-48],]72--[,True,True,True,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]16-24],0,]16-24],False,True,False,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]24-48],0,]24-48],True,True,True,False,False,True,TMH - visite entretien appareil gaz
1,corrective,]16-24],]1-2],]24-48],True,True,True,True,False,True,TMH - dépannage chauffage
0,preventive,]0-1],]0-1],]0-1],True,False,False,False,False,True,TMH - visite entretien appareil gaz
0,preventive,]0-1],]24-48],]24-48],True,True,True,False,False,False,TMH - visite entretien appareil gaz
0,preventive,]72--[,0,]72--[,False,True,False,False,False,True,TMH - visite entretien appareil gaz
0,preventive,]48-72],]72--[,]72--[,True,True,False,False,False,False,TMH - visite entretien appareil gaz
1,corrective,]48-72],]1-2],]48-72],True,True,True,False,False,True,TMH - dépannage chauffage
0,corrective,]48-72],]0-1],]48-72],True,False,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien ballon thermodynamique
1,corrective,]72--[,]24-48],]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
3,corrective,]24-48],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]72--[,]1-2],]72--[,True,True,False,False,False,True,Dépannage
1,corrective,]72--[,]24-48],]72--[,True,True,True,False,True,True,TMH - dépannage chauffage
1,corrective,]16-24],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
1,corrective,]24-48],]0-1],]24-48],True,True,False,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,0,]72--[,True,True,True,False,False,True,TMH - visite entretien Pompe à Chaleur (PAC)
1,corrective,]24-48],]1-2],]24-48],True,False,True,False,False,True,Dépannage
0,corrective,]16-24],]48-72],]72--[,True,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]72--[,]24-48],]72--[,True,True,False,False,False,False,TMH - visite entretien appareil gaz
1,corrective,]0-1],0,]0-1],True,True,True,False,False,True,TMH - dépannage chauffage
0,preventive,]16-24],]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien appareil gaz
1,corrective,]24-48],]2-4],]24-48],True,True,True,False,False,True,TMH - dépannage chauffage
